iter	RMSE
0	93.9466177
1	87.54511485
2	81.40447205
3	75.52310162
4	70.94582454
5	66.06843253
6	61.81398891
7	57.71648038
8	53.93798261
9	50.69712158
10	47.98691605
11	45.31177655
12	42.68862421
13	40.66474813
14	38.54357714
15	36.70463101
16	34.80712106
17	33.08121817
18	31.79088728
19	30.60502266
20	29.25469408
21	28.15585858
22	27.16465081
23	26.10312091
24	25.40462273
25	24.57268735
26	24.02191257
27	23.47235668
28	22.90120685
29	22.43868414
30	21.91775583
31	21.45283961
32	21.16998585
33	20.72469595
34	20.45873151
35	20.13216822
36	19.85520488
37	19.54178558
38	19.30585734
39	19.02878897
40	18.78494635
41	18.64342282
42	18.31816189
43	18.19890804
44	18.00022672
45	17.83929608
46	17.61084996
47	17.38152493
48	17.17911025
49	16.93180054
50	16.78150577
51	16.67498393
52	16.48838696
53	16.27415842
54	16.165274
55	15.93881764
56	15.73840608
57	15.6378483
58	15.5804449
59	15.41002788
60	15.33901803
61	15.22023649
62	15.15488324
63	15.00800101
64	14.90275588
65	14.80851763
66	14.73757551
67	14.64756582
68	14.5825573
69	14.52465466
70	14.32356528
71	14.2625249
72	14.12073278
73	13.94798919
74	13.87020784
75	13.66256512
76	13.61431864
77	13.51964272
78	13.29225749
79	13.20392958
80	13.0443532
81	13.01392583
82	12.87779862
83	12.76429703
84	12.71313057
85	12.69140728
86	12.55607315
87	12.37469339
88	12.25513586
89	12.21184387
90	12.18564219
91	12.07904476
92	12.04308043
93	11.87816709
94	11.72536167
95	11.69457327
96	11.67194787
97	11.50494326
98	11.37129539
99	11.35360573
100	11.24360912
101	11.09612471
102	10.99564925
103	10.97474288
104	10.94873968
105	10.78989391
106	10.7725364
107	10.65592157
108	10.62858154
109	10.51855275
110	10.49293624
111	10.41488417
112	10.26754837
113	10.11411413
114	10.02376099
115	9.97468691
116	9.884630887
117	9.806929199
118	9.699422726
119	9.631971993
120	9.604427659
121	9.567813794
122	9.507812238
123	9.419787149
124	9.29256264
125	9.257513529
126	9.174494606
127	9.082580347
128	9.052365749
129	8.996126483
130	8.90848512
131	8.810465851
132	8.765797943
133	8.75048145
134	8.709437784
135	8.667966974
136	8.613399924
137	8.561503822
138	8.44168928
139	8.356438231
140	8.277002721
141	8.259741283
142	8.241836442
143	8.210302315
144	8.194496276
145	8.149680813
146	8.094933153
147	8.004632812
148	7.96834834
149	7.929464638
150	7.916195589
151	7.863277366
152	7.771470151
153	7.663009384
154	7.645036744
155	7.566959853
156	7.45955711
157	7.418175703
158	7.38635203
159	7.34387346
160	7.327016223
161	7.310312739
162	7.24463299
163	7.185910272
164	7.098950553
165	7.056100158
166	6.994170055
167	6.941577408
168	6.917848486
169	6.887058831
170	6.861647136
171	6.82574407
172	6.763932425
173	6.720839138
174	6.71142986
175	6.644468017
176	6.621355731
177	6.606038893
178	6.535295855
179	6.515578668
180	6.503127432
181	6.458200012
182	6.422392121
183	6.377837656
184	6.342934967
185	6.293064875
186	6.269617544
187	6.255037843
188	6.229276165
189	6.187603715
190	6.174999279
191	6.128864907
192	6.116712252
193	6.05511221
194	6.023323991
195	5.983442776
196	5.957984355
197	5.914592584
198	5.848002771
199	5.799250723
200	5.792086046
201	5.781061035
202	5.756247102
203	5.710277167
204	5.646190112
205	5.61999788
206	5.610002423
207	5.566039604
208	5.533639582
209	5.504271738
210	5.468049236
211	5.438415339
212	5.428005238
213	5.400632724
214	5.36061292
215	5.339880683
216	5.267783777
217	5.242624936
218	5.198828559
219	5.163007851
220	5.128940472
221	5.088164705
222	5.065953135
223	5.04965148
224	4.99615296
225	4.959539833
226	4.927006975
227	4.915103152
228	4.909514749
229	4.865274719
230	4.846019713
231	4.814714126
232	4.793561595
233	4.785797444
234	4.768861694
235	4.713993783
236	4.684601664
237	4.669808177
238	4.628398136
239	4.589737135
240	4.56586385
241	4.549081016
242	4.543699979
243	4.533471368
244	4.494177755
245	4.461476964
246	4.425723612
247	4.420918074
248	4.407707667
249	4.34670685
250	4.309853663
251	4.297599262
252	4.271846644
253	4.261958016
254	4.25742155
255	4.227446194
256	4.201458426
257	4.148795828
258	4.113962512
259	4.099576653
260	4.069660596
261	4.065319956
262	4.061136068
263	4.025389772
264	4.017693912
265	3.999520548
266	3.974420993
267	3.955428233
268	3.948361074
269	3.926281431
270	3.916294136
271	3.86185626
272	3.845026372
273	3.828227162
274	3.810222579
275	3.792116398
276	3.784031462
277	3.741102265
278	3.729904932
279	3.689972612
280	3.664555209
281	3.631901999
282	3.614755459
283	3.583727868
284	3.552275083
285	3.53721381
286	3.523113367
287	3.515152131
288	3.50918611
289	3.503691236
290	3.493807756
291	3.461604916
292	3.449841247
293	3.434486962
294	3.407045962
295	3.385337681
296	3.379285375
297	3.345646344
298	3.303670491
299	3.298282641
